ID,lb,mean,ub
1,1.05,1.1,1.5
6,1.05,1.1,1.5
11,1.05,1.1,1.5
15,1.05,1.1,1.5
16,1.05,1.1,1.5
20,1.05,1.1,1.5
21,1.05,1.1,1.5
22,1.05,1.1,1.5
25,1.05,1.1,1.5
26,1.05,1.1,1.5
27,1.05,1.1,1.5
28,1.05,1.1,1.5
29,1.05,1.1,1.5
30,1.05,1.1,1.5
31,1.05,1.1,1.5
32,1.05,1.1,1.5
33,1.05,1.1,1.5
34,1.05,1.1,1.5
35,1.05,1.1,1.5
39,1.05,1.1,1.5
41,1.05,1.1,1.5
46,1.05,1.1,1.5
47,1.05,1.1,1.5
48,1.05,1.1,1.5
51,1.05,1.1,1.5
53,1.05,1.1,1.5
55,1.05,1.1,1.5
57,1.05,1.1,1.5
59,1.05,1.1,1.5
61,1.05,1.1,1.5
63,1.05,1.1,1.5
64,1.05,1.1,1.5
65,1.05,1.1,1.5
66,1.05,1.1,1.5
67,1.05,1.1,1.5
68,1.05,1.1,1.5
69,1.05,1.1,1.5
