ID,lb,mean,ub
1,0.7,0.7,0.9
6,0.7,0.7,0.9
11,0.7,0.7,0.9
15,0.7,0.7,0.9
16,0.7,0.7,0.9
20,0.7,0.7,0.9
21,0.7,0.7,0.9
22,0.7,0.7,0.9
25,0.7,0.7,0.9
26,0.7,0.7,0.9
27,0.7,0.7,0.9
28,0.7,0.7,0.9
29,0.7,0.7,0.9
30,0.7,0.7,0.9
31,0.7,0.7,0.9
32,0.7,0.7,0.9
33,0.7,0.7,0.9
34,0.7,0.7,0.9
35,0.7,0.7,0.9
39,0.7,0.7,0.9
41,0.7,0.7,0.9
46,0.7,0.7,0.9
47,0.7,0.7,0.9
48,0.7,0.7,0.9
51,0.7,0.7,0.9
53,0.7,0.7,0.9
55,0.7,0.7,0.9
57,0.7,0.7,0.9
59,0.7,0.7,0.9
61,0.7,0.7,0.9
63,0.7,0.7,0.9
64,0.7,0.7,0.9
65,0.7,0.7,0.9
66,0.7,0.7,0.9
67,0.7,0.7,0.9
68,0.7,0.7,0.9
69,0.7,0.7,0.9
