Region_name,IndustrySector_Code,N,RT_bldg_avg_days
Region1,21,6,10
Region1,26,6,20
Region1,32,6,20
Region1,-999,2,7.5
Region1,25,6,10
Region1,28,12,20
Region1,37,6,20
Region1,37,6,20
Region1,28,6,20
Region1,3,6,10
Region1,28,23,20
Region1,28,6,20
Region1,27,6,20
Region1,28,41,20
Region1,21,6,10
Region1,32,6,20
Region1,32,6,20
Region1,-999,6,7.5
Region1,3,18,10
Region1,30,6,10
Region1,3,6,10
Region1,28,6,20
Region1,3,2,10
Region1,12,12,10
Region1,31,6,10
Region1,27,6,20
Region1,30,6,10
Region1,-999,2,7.5
Region1,3,12,10
Region1,3,2,10
Region1,3,6,10
Region1,3,12,10
Region1,3,12,10
Region1,5,23,10
Region1,5,6,10
Region1,17,64,10
Region1,25,12,10
Region1,28,12,20
Region1,32,6,20
Region1,32,12,20
Region1,33,6,20
Region1,35,6,10
Region1,37,6,20
Region1,37,6,20
Region1,-999,3,7.5
Region1,-999,2,7.5
Region1,3,6,10
Region1,28,6,20
Region1,-999,2,7.5
Region1,5,6,10
Region1,25,6,10
Region1,25,6,10
Region1,28,6,20
Region1,28,6,20
Region1,-999,6,7.5
Region1,3,6,10
Region1,5,23,10
Region1,28,6,20
Region1,28,6,20
Region1,28,6,20
Region1,-999,2,7.5
Region1,35,6,10
Region1,9,6,10
Region1,15,5,10
Region1,-999,2,7.5
Region1,12,12,10
Region1,28,6,20
Region1,35,6,10
Region1,28,6,20
Region1,28,12,20
Region1,33,6,20
Region1,37,12,20
Region1,37,6,20
Region1,31,6,10
Region1,21,6,10
Region1,32,6,20
Region1,-999,2,7.5
Region1,-999,3,7.5
Region1,19,41,10
Region1,25,6,10
Region1,28,29,20
Region1,28,23,20
Region1,32,6,20
Region1,35,6,10
Region1,36,6,10
Region1,37,6,20
Region1,30,6,10
Region1,28,6,20
Region1,28,6,20
Region1,35,6,10
Region1,-999,12,7.5
Region1,-999,2,7.5
Region1,35,6,10
Region1,21,6,10
Region1,26,6,20
Region1,27,6,20
Region1,29,6,10
Region1,32,6,20
Region1,-999,8,7.5
Region1,-999,2,7.5
Region1,3,2,10
Region1,3,6,10
Region1,5,10,10
Region1,5,15,10
Region1,9,5,10
Region1,28,12,20
Region1,32,23,20
Region1,32,6,20
Region1,33,18,20
Region1,35,6,10
Region1,37,6,20
Region1,37,6,20
Region1,3,5,10
Region1,21,6,10
Region1,21,6,10
Region1,26,6,20
Region1,28,6,20
Region1,28,6,20
Region1,35,6,10
Region1,27,6,20
Region1,25,6,10
Region1,28,12,20
Region1,28,18,20
Region1,-999,3,7.5
Region1,3,18,10
Region1,25,6,10
Region1,37,6,20
Region1,27,6,20
Region1,3,6,10
Region1,3,6,10
Region1,25,6,10
Region1,28,12,20
Region1,-999,2,7.5
Region1,28,6,20
Region1,26,6,20
Region1,32,6,20
Region1,3,6,10
Region1,5,46,10
Region1,25,6,10
Region1,28,6,20
Region1,28,6,20
Region1,32,12,20
Region1,26,6,20
Region1,30,6,10
Region1,32,12,20
Region1,-999,6,7.5
Region1,25,6,10
Region1,25,6,10
